연번,노선명,도로 유형,합계 길이
1,굴포로,자·보겸,1125
2,경원대로,자·보겸,155
3,경원대로,자·보겸,66
4,경원대로,자·보겸,185
5,경원대로,자·보겸,625
6,경원대로,자·보겸,207
7,경원대로,자·보겸,85
8,경원대로,자·보겸,144
9,경원대로,자·보겸,192
10,경원대로,자·보겸,70
11,경원대로,자·보겸,170
12,경원대로,자·보겸,596
13,경원대로,자·보겸,412
14,경원대로,자·보겸,85
15,경원대로,자·보겸,191
16,경원대로,자·보겸,145
17,경인로,자·보겸,165
18,경인로,자·보겸,206
19,경인로,자·보겸,472
20,경인로,자·보겸,90
21,경인로,자·보겸,42
22,경인로,자·보겸,300
23,경인로,자·보겸,172
24,경인로,자·보겸,60
25,경인로,자·보겸,218
26,경인로,자·보겸,318
27,경인로,자·보겸,131
28,경인로,자·보겸,247
29,경인로,자·보겸,648
30,경인로,자·보겸,80
31,경인로,자·보겸,860
32,경인로,자·보겸,320
33,경인로,자·보겸,81
34,경인로,자·보겸,61
35,경인로,자·보겸,627
36,길주로,자·보겸,895
37,길주로,자·보겸,180
38,길주로,자·보겸,180
39,길주로,자·보겸,812
40,길주로,자·보겸,864
41,길주로,자·보겸,1314
42,길주로,자·보겸,845
43,길주로,자·보겸,369
44,길주로,자·보겸,417
45,신트리로,자·보겸,355
46,신트리로,자·보겸,230
47,주부토로,자·보겸,295
48,주부토로,자·보겸,295
49,수변로,자·보겸,621
50,수변로,자·보겸,444
51,체육관로,자·보겸,571
52,체육관로,자·보겸,317
53,체육관로,자·보겸,206
54,충선로,자·보겸,382
55,충선로,자·보겸,599
56,마장로,자·보겸,214
57,마장로,자·보겸,351
58,마장로,,255
59,마장로,자·보겸,206
60,마장로,자·보겸,80
61,마장로,자·보겸,82
62,마장로,자·보겸,78
63,마장로,자·보겸,192
64,마장로,자·보겸,228
65,마장로,자·보겸,188
66,마장로,자·보겸,140
67,마장로,자·보겸,189
68,마장로,자·보겸,140
69,마장로,자·보겸,233
70,마장로,자·보겸,490
71,마장로,자·보겸,205
72,마장로,자·보겸,189
73,마장로,자·보겸,144
74,아트센터로,자·보겸,250
75,부평대로,자·보겸,77
76,부평대로,자·보겸,35
77,부평대로,자·보겸,216
78,부평대로,자·보겸,33
79,부평대로,자·보겸,132
80,부평대로,자·보겸,43
81,부평대로,자·보겸,15
82,부평대로,자·보겸,57
83,부평대로,자·보겸,118
84,부평대로,자·보겸,107
85,부평대로,자·보겸,108
86,부평대로,자·보겸,355
87,부평대로,자·보겸,85
88,부평대로,자·보겸,143
89,부평대로,자·보겸,67
90,부평대로,자·보겸,238
91,부평대로,자·보겸,361
92,부평대로,자·보겸,188
93,부평대로,자·보겸,42
94,부평대로,자·보겸,63
95,부평대로,자·보겸,42
96,부평대로,자·보겸,13
97,부평대로,자·보겸,181
98,부평대로,자·보겸,132
99,부평대로,자·보겸,138
100,부평대로,자·보겸,29
101,부평대로,자·보겸,81
102,부평대로,자·보겸,883
103,부평대로,자·보겸,18
104,부평대로,자·보겸,18
105,부평대로,자·보겸,298
106,부평대로,자·보겸,77
107,부평대로,자·보겸,98
108,부평대로,자·보겸,139
109,부평대로,자·보겸,104
110,대정로,자·보겸,340
111,대정로,,340
112,원적로,자·보겸,225
113,원적로,자·보겸,195
114,부흥로,자·보겸,130
115,부흥로,자·보겸,438
116,부흥로,자·보겸,40
117,장제로,자·보겸,230
118,장제로,자·보겸,757
119,장제로,자·보겸,156
120,장제로,자·보겸,795
121,장제로,자·보겸,78
122,장제로,자·보겸,620
123,장제로,자·보겸,159
124,장제로,자·보겸,300
125,장제로,자·보겸,48
126,장제로,자·보겸,819
127,평천로,자.보겸,85
128,평천로,자.보겸,130
129,평천로,자.보겸,288
130,평천로,자·보겸,463
131,평천로,자·보겸,205
132,평천로,자·보겸,312
133,평천로,자·보겸,537
134,평천로,자전거전용도로,245
135,평천로,자·보겸,148
136,평천로,자.보겸,97
137,평천로,자.보겸,178
138,평천로,자.보겸,219
139,평천로,자.보겸,270
140,평천로,자.보겸,568
141,평천로,자.보겸,607
142,평천로,자전거전용도로,244
143,평천로,자·보겸,131
144,영성동로18번길,자전거전용도로,265
145,영성동로18번길,자전거전용도로,265
146,두레로,자전거전용도로,370
147,영성동로,자·보겸,530
148,영성동로,자·보겸,150
149,영성동로,자·보겸,135
150,영성동로,자·보겸,88
151,영성동로,자·보겸,164
152,굴포천산책로,자·보겸,1900
153,시장로,자·보겸,440
154,시장로,자·보겸,440
155,열우물로,자·보겸,290
156,열우물로,자·보겸,230
157,세월천로,자·보겸,378
158,세월천로,자·보겸,193
159,평천로506번길,자·보겸,116
160,부영로,자·보겸,90
161,굴포천자전거길,자·보겸,375
162,굴포천자전거길,자·보겸,454
163,굴포천자전거길,자·보겸,775
164,청천천자전거길,자·보겸,242
165,청천천자전거길,자·보겸,125
