노선명,합계 길이,자전거 전용도로
중앙로,10.8,10.8
북정 3길,0.44,0.44
연자로,0.25,0.25
팔마로,6.8,6.8
장평로,1.5,1.5
남산로,3.6,3.6
풍덕주택길,1.14,1.14
봉화터널길,3.6,3.6
이수로,2.8,2.8
충효로,3,3
연향로,3.8,3.8
연향 1로,1.14,1.14
연향 3로,1.54,1.54
지봉로,1.5,1.5
대석길,1.94,1.94
기적의도서관길,1.1,1.1
상대석길,0.64,0.64
기적의도서관 1길,0.88,0.88
조례못등길,0.2,0.2
하대석길,1.4,1.4
백연길,0.52,0.52
왕궁길,1.6,1.6
연동남길,0.9,0.9
왕궁중앙길,0.8,0.8
순광로,4.2,4.2
왕지로,2.3,2.3
왕지 3길,0.21,0.21
삼산로,6.32,6.32
동천,31,31
지봉로,5.6,5.6
백강로,5,5
지봉로,5.5,5.5
상사호길,0.29,0.29
우석로,4.03,4.03
순천만길,8.66,8.66
