연번,시군구,노선명,도로 유형,합계 길이
1,서부면, 남당항로 ,자전거 전용도로,3.8
2,서부면, 남당항로2 ,자전거 전용도로,2.2
3,홍성읍, 충서로 ,자전거보행자겸용도로,4
4,홍성읍, 터미널로 ,자전거보행자겸용도로,0.2
5,홍성읍, 역전로 ,자전거보행자겸용도로,1.6
6,홍성읍, 충절로 ,자전거보행자겸용도로,0.5
7,홍성읍, 남장로R ,자전거보행자겸용도로,1.8
8,홍성읍, 남장로L ,자전거보행자겸용도로,1.8
9,홍성읍, 남장로1 ,자전거보행자겸용도로,1.1
10,홍성읍, 옥암로 ,자전거보행자겸용도로,0.2
11,홍성읍, 월산로R ,자전거보행자겸용도로,1.7
12,홍성읍, 월산로L ,자전거보행자겸용도로,1.7
13,홍성읍, 월산로1R ,자전거보행자겸용도로,0.3
14,홍성읍, 월산로1L ,자전거보행자겸용도로,0.3
15,홍성읍, 홍성초로 ,자전거보행자겸용도로,0.7
16,홍성읍, 충서로1R ,자전거보행자겸용도로,1.8
17,홍성읍, 충서로1L ,자전거보행자겸용도로,1.8
18,광천읍, 북동부로R ,자전거보행자겸용도로,1.2
19,광천읍, 북동부로L ,자전거보행자겸용도로,1.8
20,광천읍, 광천천로1 ,자전거보행자겸용도로,0.6
21,광천읍, 담산로 ,자전거보행자겸용도로,3.6
22,광천읍, 광남로 ,자전거보행자겸용도로,0.7
23,광천읍, 광천천로 ,자전거보행자겸용도로,1.4
24,광천읍, 광천천로2 ,자전거 전용도로,0.4
25,홍북읍, 내포로 ,자전거보행자겸용도로,13.3
