도로 유형,노선명,합계 길이
겸용도로,우금티로1R,1.2
겸용도로,우금티로2R,0.5
겸용도로,우금티로3R,2.24
겸용도로,우금티로4R,0.29
겸용도로,우금티로1L,0.29
겸용도로,우금티로2L,2.24
겸용도로,우금티로3L,0.5
겸용도로,우금티로4L,1.2
전용도로,무령로1R,0.78
겸용도로,무령로2R,3.31
겸용도로,무령로3R,0.96
겸용도로,무령로1L,0.96
겸용도로,무령로2L,3.31
전용도로,무령로3L,0.97
겸용도로,관광단지길1R,0.33
우선도로,관광단지길2,0.32
겸용도로,관광단지길1L,0.33
겸용도로,웅진로1R,0.3
겸용도로,웅진로2R,2.33
겸용도로,웅진로1L,2.63
겸용도로,청벽로1R,1.25
겸용도로,청벽로1L,1.25
겸용도로,번영로1R,1.73
겸용도로,번영로2R,0.27
겸용도로,번영로1L,2
겸용도로,금벽로1R,0.67
겸용도로,금벽로2R,0.2
겸용도로,금벽로3R,1.52
겸용도로,금벽로1L,2.39
겸용도로,의당1길1R,0.4
겸용도로,의당1길1L,0.4
겸용도로,고마나루길1R,0.2
겸용도로,고마나루길2R,0.55
겸용도로,고마나루길3R,0.18
겸용도로,고마나루길1L,0.71
겸용도로,고마나루길2L,0.22
겸용도로,신관로(2)1R,0.59
겸용도로,신관로(2)1L,0.59
겸용도로,한적1길1R,0.32
겸용도로,한적1길2,0.31
겸용도로,한적1길3,0.46
겸용도로,한적1길4,0.48
겸용도로,한적1길1L,0.14
겸용도로,한적1길2L,0.3
겸용도로,신금1길1R,0.51
겸용도로,신금1길2R,1.15
겸용도로,신금1길1L,0.85
겸용도로,신금1길2L,0.51
겸용도로,신금2길1R,0.6
겸용도로,신금2길1L,0.6
겸용도로,공주대학로1R,0.68
겸용도로,공주대학로2R,0.33
겸용도로,공주대학로1L,0.33
겸용도로,공주대학로2L,0.68
겸용도로,유구천1,1.57
겸용도로,유구천2R,0.24
겸용도로,유구천1L,0.24
겸용도로,창말길,0.82
겸용도로,중앙2길1R,0.79
겸용도로,중앙2길2R,0.49
겸용도로,중앙2길1,0.1
겸용도로,중앙2길2L,0.48
겸용도로,중앙2길3L,0.1
겸용도로,중앙2길4L,0.7
겸용도로,한적2길(1)1R,0.49
겸용도로,한적2길(1)1L,0.49
겸용도로,한적2길(2)1R,0.77
겸용도로,한적2길(2)1L,0.77
전용도로,금강신관공원,3.48
겸용도로,제민천길 1R,0.26
우선도로,제민천길 2R,1.87
우선도로,제민천길 1L,1.5
겸용도로,제민천길 2L,0.57
겸용도로,왕릉로1R,0.57
전용도로,왕릉로2R,0.47
겸용도로,왕릉로3R,0.95
겸용도로,왕릉로1L,1.03
겸용도로,왕릉로2L,0.29
겸용도로,왕릉로3L,0.78
전용도로,금강자전거길1,26.18
전용차로,금강자전거길2,0.82
겸용도로,단간지주길1R,0.25
겸용도로,단간지주길1L,0.25
겸용도로,국고개길1R,0.58
겸용도로,국고개길1L,0.58
겸용도로,용당길1R,0.25
겸용도로,용당길2R,0.67
겸용도로,용당길1L,0.67
겸용도로,용당길2L,0.25
겸용도로,백제큰길1R,20.86
겸용도로,백제큰길1L,2.8
겸용도로,백제큰길(2)1R,0.85
겸용도로,백제큰길(2)1L,0.59
겸용도로,금강공원길1R,0.52
겸용도로,금강공원길1L,0.52
겸용도로,신관로(1)1R,0.66
겸용도로,신관로(1)1L,0.66
전용도로,쌍신생태공원1,3.55
겸용도로,정안천,2.2
